Dates,Dam,Daily_Count_Current_Year,Daily_Count_Last_Year,Ten_Year_Average_Daily_Count
31-Jul,BON,373,2009,3254
1-Aug,BON,331,1657,3552
2-Aug,BON,304,1533,3191
3-Aug,BON,192,1277,2994
4-Aug,BON,317,1212,2813
5-Aug,BON,532,1458,2856
6-Aug,BON,475,1280,3154
7-Aug,BON,593,1617,3505
8-Aug,BON,511,1806,3368
9-Aug,BON,389,862,3075
10-Aug,BON,452,1205,2966
11-Aug,BON,812,1104,3068
12-Aug,BON,1189,629,2948
13-Aug,BON,1156,605,3333
14-Aug,BON,1172,663,3009
15-Aug,BON,811,428,2849
16-Aug,BON,383,523,2397
17-Aug,BON,366,1735,2283
18-Aug,BON,311,688,2265
19-Aug,BON,237,1087,2457
20-Aug,BON,311,1072,2825
21-Aug,BON,517,697,2384
22-Aug,BON,761,1165,2096
23-Aug,BON,1044,910,1896
24-Aug,BON,1004,1061,1871
25-Aug,BON,1473,1336,1827
26-Aug,BON,1608,1368,1974
27-Aug,BON,1534,903,1927
28-Aug,BON,1529,981,1925
29-Aug,BON,1319,999,1863
30-Aug,BON,1200,750,1757
31-Aug,BON,1346,1040,1842
1-Sep,BON,1477,1259,2133
2-Sep,BON,1254,1175,1911
3-Sep,BON,1206,1967,2152
4-Sep,BON,1104,2080,2144
5-Sep,BON,1447,1919,1895
6-Sep,BON,1081,1839,2025
7-Sep,BON,1524,1216,1901
8-Sep,BON,1302,1961,2091
9-Sep,BON,1088,1365,2224
10-Sep,BON,945,1427,2108
11-Sep,BON,728,1366,2127
12-Sep,BON,908,1024,1999
13-Sep,BON,763,1131,1922
14-Sep,BON,1117,1597,1929
15-Sep,BON,925,987,2077
16-Sep,BON,747,1692,1903
17-Sep,BON,849,1029,1847
18-Sep,BON,590,2123,1857
19-Sep,BON,702,1242,1673
20-Sep,BON,698,1182,1538
21-Sep,BON,1004,1317,1731
22-Sep,BON,1049,832,1463
23-Sep,BON,602,639,1473
24-Sep,BON,726,695,1244
25-Sep,BON,534,521,1218
26-Sep,BON,399,880,1172
27-Sep,BON,608,365,1017
28-Sep,BON,563,414,867
29-Sep,BON,476,262,758
30-Sep,BON,347,306,734
1-Oct,BON,417,446,673
2-Oct,BON,278,440,610
3-Oct,BON,312,231,614
4-Oct,BON,313,196,537
5-Oct,BON,206,215,495
6-Oct,BON,244,220,469
7-Oct,BON,226,204,466
8-Oct,BON,257,136,438
9-Oct,BON,231,193,427
10-Oct,BON,175,223,350
11-Oct,BON,252,164,322
12-Oct,BON,161,100,287
13-Oct,BON,124,64,275
14-Oct,BON,85,172,285
15-Oct,BON,153,82,242
16-Oct,BON,86,150,215
17-Oct,BON,94,67,171
18-Oct,BON,126,59,234
19-Oct,BON,133,57,162
20-Oct,BON,65,19,140
21-Oct,BON,94,63,126
22-Oct,BON,42,60,143
23-Oct,BON,50,42,134
24-Oct,BON,44,35,102
25-Oct,BON,61,22,114
26-Oct,BON,54,15,97
27-Oct,BON,58,6,74
28-Oct,BON,61,15,61
29-Oct,BON,77,18,77
30-Oct,BON,42,19,63
31-Oct,BON,16,18,65
1-Nov,BON,74,10,68
2-Nov,BON,54,9,69
3-Nov,BON,48,11,68
